title,start_year,end_year,language,run_time,rating,summary,status
Impractical Jokers,2011,,English,31.0,7.7,"Four longtime friends take dares to outrageous new levels in truTV's hilarious series Impractical Jokers. Q, Murr, Joe and Sal bravely face some of the most unbelievably awkward and brazen hijinks yet, daring each other with over-the-top challenges that are guaranteed to set a new side-splitting standard.",Running
Unbreakable Kimmy Schmidt,2015,2020,English,30.0,7.6,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn't think even existed anymore.",Ended
The Order,2019,2020,English,48.0,7.0,"The Order revolves around college freshman Jack Morton, who joins a fabled secret society, The Order, where he is thrust into a world of magic, monsters and intrigue. As Jack goes deeper, he uncovers dark family secrets and an underground battle between werewolves and the magical dark arts. The Order is described as a magical and terrifying journey to uncover everyone's true selves ... and the monsters that hide within.",Ended
Santa Clarita Diet,2017,2019,English,29.0,7.8,"Santa Clarita Diet follows Joel and Sheila, husband-and-wife realtors in the titular Los Angeles suburb, who live a boring existence until Sheila goes through a change that sends both their lives down a road of death and destruction—but in a good way.",Ended
Insatiable,2018,2019,English,46.0,5.9,"In this darkly comic series, a disgraced civil lawyer turned beauty pageant coach takes on a vengeful, bullied teenager as his client.",Ended
The Boondocks,2005,2014,English,30.0,7.7,"In The Boondocks, Robert ""Granddad"" Freeman is the cantankerous legal guardian of his rambunctious grandkids Huey and Riley and has moved them from the south side of Chicago to the quiet and safety of ""The Boondocks"" (in this case, suburban Woodcrest), hoping that he can ignore them altogether and enjoy the golden years of his life in peace. But Huey, a 10-year-old left wing revolutionary, is determined not to enjoy the affluence of suburbia. This attitude is seconded by his 8-year-old brother, Riley, a proud product of contemporary rap culture. Although they torture each other and provoke the neighborhood, they are no match for Granddad, who is eccentric even by ""crazy-ass-old-black-man"" standards.",Ended
Hemlock Grove,2013,2015,English,52.0,7.0,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",Ended
Mighty Morphin Power Rangers,,,,,,,
Love Island,2019,,English,61.0,4.7,"U.S. version of the British show Love Island where a group of singles come to stay in a villa for a few weeks and have to couple up with one another – those who fail to find a partner to couple up with risk being dumped from the island. Islanders are on the lookout for romance, but the road to love doesn't always run smoothly. Challenges abound with new Islander arrivals and dramatic twists as friendships and relationships form. In addition to choosing their partners wisely, Islanders must also win the hearts of viewers who have the opportunity to shape events on screen and ultimately crown one lucky couple the winner, who will then have the chance to walk away with both love and the cash prize.",Running
Explained,2018,2021,English,20.0,6.8,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop.",Ended
The Naked Director,2019,2021,Japanese,50.0,6.1,"The Naked Director follows the tumultuous life of director Toru Muranishi, who revolutionized the porn industry during the economic boom of 1980s Japan.",Ended
Disenchantment,2018,2023,English,28.0,7.1,"In Disenchantment, viewers are whisked away to the crumbling medieval kingdom of Dreamland, where they follow the misadventures of hard-drinking young princess Bean, her feisty elf companion Elfo, and her personal demon Luci. Along the way, the oddball trio encounter ogres, sprites, harpies, imps, trolls, walruses, and lots of human fools.",Ended
Steven Universe,2013,2019,English,16.0,8.1,"Steven Universe, from Adventure Time writer-artist Rebecca Sugar, is a coming-of-age story told from the perspective of Steven, the youngest member of a team of magical Guardians of the Universe.",Ended
Girl from Nowhere,2018,,Thai,54.0,6.6,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.",To Be Determined
Versailles,2015,2018,English,60.0,7.9,"Versailles, 1667. Louis XIV was 28 years old. To rise to the heights of the nobility and wield its absolute power, he launched the construction of Versailles... it proved to be a snare. Louis XIV is a young King haunted by childhood trauma, the Fronde civil, a rebellion of the nobility against his father, Louis XIII... It will prove be a strategic policy out of the ordinary, manipulative, Machiavellian, and he will ""invent"" Versailles for the nobles of Paris, to keep them under control, and gradually transform the castle into a golden prison. But how will Louis live as the greatest King in the world?Historical fiction of the court figures and the more humble villagers, guiding us in a world of betrayals and secrets, politicking and declarations of love.",Ended
Steins;Gate,2011,2015,Japanese,25.0,8.1,"The microwave is a time machine. Okarin proved it. The self-anointed mad scientist nuked bananas into some gelatinous version of the future. Or maybe it was the past. Doesn't matter. No one thought he could do it, but he did it anyway. He sent text messages through time to people he knew. To his friends. Some of them female. Pretty. He should have been more careful. He should have stopped. Tampering with the time-space continuum attracts unwelcome attention. Clandestine organizations of nefarious origins take notice. SERN. Always watching. Okarin knows; he can feel their eyes. That s why he started the top secret Future Gadget Lab. To stop them. You should join. We get to wear lab coats, and it's dangerous. Danger is exciting because it's deadly. The microwave is a time machine. Steins;Gate is a surreal viewing experience that s an absolute must watch for all fans of sci-fi.",Ended
The Shannara Chronicles,2016,2017,English,60.0,7.4,"The Shannara Chronicles is a new TV series based on the best-selling fantasy novels by Terry Brooks. Set thousands of years after the destruction of our civilization, the story follows an Elven Princess, Amberle, a half-human half-elf, Wil, and a human, Eretria, as they embark on a quest to stop a Demon army from destroying the Four Lands.",Ended
